url,abstract,short_abstract,t5_sum
Hindoestaanse_muziek,"De Hindoestaanse muziek, ofwel Noord-Indiase klassieke muziek, wordt traditioneel in een groot gebied beoefend, dat zich uitstrekt over de tegenwoordige landen Bangladesh, Noord- India, Pakistan en zelfs Afghanistan. De term hindoestaanse muziek is weliswaar gebruikelijk, maar verwarrend, omdat deze muziek door zowel hindoes als moslims wordt beoefend, en bovendien een versmelting van meer dan beide culturen is. In Nederland staat de term nog enigszins ter discussie, aangezien hier het woord Hindoestaans de verwarrende associatie met Suriname, en niet in de eerste plaats India, oproept. Het Rotterdams Conservatorium biedt een aantal opleidingen in de Hindoestaanse muziek.","De Hindoestaanse muziek, ofwel Noord-Indiase klassieke muziek, wordt traditioneel beoefend in een groot gebied, dat zich uitstrekt over de tegenwoordige landen Bangladesh, Noord-India, Pakistan en zelfs Afghanistan. De term hindoestaanse muziek is weliswaar gebruikelijk, maar verwarrend, omdat deze muziek door zowel hindoes als moslims wordt beoefend, en bovendien een versmelting van meer dan beide culturen is. In Nederland staat de term nog enigszins ter discussie, aangezien hier het woord Hindoestaans de verwarrende associatie met Suriname, en niet in de eerste plaats India, oproept.","de Hindoestaanse muziek wordt traditioneel in een groot gebied beoefend, dat zich uitstrekt over de tegenwoordige landen Bangladesh, Noord- india, Pakistan en zelfs Afghanistan. de term hindoestaanse muziek is weliswaar gebruikelijk"
Surinaamse_Schutterij,"De Surinaamse Schutterij, opgericht in 1939, was een landmacht in Suriname. De Schutterij was bedoeld als aanvulling op de Nederlandse reguliere troepen (de Troepenmacht in Suriname, ook wel TRIS genoemd), en stond open voor de lokale bevolking. Krachtens de grondwet mocht de Schutterij niet buiten het eigen grondgebied worden uitgezonden. Aanvankelijk bestond de Schutterij uit vrijwilligers, en toen in 1940 werd gemobiliseerd bestond de troep uit slechts 180 man. Zij moesten samen met 200 KNIL-soldaten Suriname verdedigen tegen mogelijke invallen vanuit Frans-Guyana, dat onder het Vichy-regime viel, of Brazilië, waar veel Duitsers woonden. Omdat de bauxietmijnen van Suriname essentieel waren voor de Amerikaanse vliegtuigindustrie - Suriname leverde 65% van het voor de aluminiumfabricage benodigde bauxiet - kreeg de Schutterij al snel versterking van 2000 man Amerikaanse troepen met 73 tanks. De Surinaamse Schutterij werd ingezet bij de bewaking van de mijnen bij Moengo en Paranam, en ter bewaking van de kust. Ook de schepen die de bauxiet over de rivieren vervoerden, werden door de Surinaamse Schutterij beveiligd. In 1941 werd de Surinaamse Schutterijverordening afgekondigd. In 1942 werden de Amerikaanse troepen grotendeels vervangen door troepen uit Puerto Rico. In Suriname werd de dienstplicht ingevoerd. Het oproepen van dienstplichtige plantagearbeiders leidde vooral in het district Commewijne tot grote problemen in de landbouw. Het aantal soldaten in de Schutterij steeg tot vijfduizend, en er was sprake van hen in te zetten in Nederlands-Indië, maar de Surinaamse Staten weigerden in te stemmen met de grondwetsherziening die hiervoor noodzakelijk was. De grens met Frans-Guyana werd inmiddels beveiligd door het Korps Stads- en Landwachten, een groep vrijwilligers, die onder de Schutterij viel. Binnen dit vrijwilligerskorps werd een afdeling voor vrouwen opgericht, het Vrouwelijk Vrijwilligers Korps. Hoewel de vrouwen ondersteunende taken uitvoerden, kregen zij ook schietles en exercitie. Samen met vrijwilligers uit de Antilliaanse Schutterij hebben ruim 450 Surinaamse oorlogsvrijwilligers meegevochten bij de bevrijding van Nederlands-Indië, en bij operaties in de Bersiapperiode. Een vijftiental maakte sinds 1941 deel uit van de Prinses Irene Brigade die later meevocht in Noord-Frankrijk en bij de bevrijding van Zuid-Nederland. Acht vrouwelijke Surinaamse vrijwilligers werkten als gewondenverzorgsters. Voor de emancipatie van de niet-blanke bevolking van Suriname is de Surinaamse Schutterij zeer belangrijk geweest. Voor het eerst werkten mensen uit diverse bevolkingsgroepen samen. Hindoestaanse Surinamers van het platteland raakten gewend aan het leven in de stad. Niet-blanke Surinamers ontdekten dat zij minstens zo goed functioneerden als blanken, en dat ook blanke ondergeschikten konden worden gestraft. Ook voor de emancipatie van de vrouwen was de Surinaamse Schutterij van veel belang. De vrouwelijke vrijwilligers verdienden een voor die tijd behoorlijk inkomen, en verrichtten functies die voorheen aan mannen waren voorbehouden.","De Surinaamse Schutterij, opgericht in 1939, was een landmacht in Suriname. De Schutterij was bedoeld als aanvulling op de Nederlandse reguliere troepen (de Troepenmacht in Suriname, ook wel TRIS genoemd), en stond open voor de lokale bevolking. Krachtens de grondwet mocht de Schutterij niet buiten het eigen grondgebied worden uitgezonden.","de Surinaamse Schutterij, opgericht in 1939, was een landmacht in suriname. de Schutterij was bedoeld als aanvulling op de Nederlandse reguliere troepen (de Troepenmacht in Suriname, ook wel TRIS genoemd) stond open voor de lo"
Bronstijd,"De bronstijd (ca. 3000 tot 800 voor Christus) is de periode die in het Drieperiodensysteem volgde op het Neolithicum. In Centraal-Europa is er tussen de nieuwe steentijd en de bronstijd nog een kopertijd (die vaak tot het neolithicum gerekend wordt) te onderscheiden; in West-Europa (zie de koperen bijl van Ötzi) en ook in Nederland zijn wel enige koperen voorwerpen gevonden ( Veluwe), maar dit waren uitzonderingen. Brons verving gedurende de bronstijd geleidelijk vuursteen als belangrijkste materiaal voor gereedschap en wapens en werd ook gebruikt voor sieraden en enkele uitzonderlijke beelden. De oudste overgebleven voorwerpen van brons waren voornamelijk bijlen, en ook enkele dolken, hellebaarden en sieraden zoals armbanden. Brons werd langzaam algemener, en steeds meer soorten metalen voorwerpen kwamen in gebruik. De kennis voor het bewerken van metalen, inclusief brons ontstond in het Midden-Oosten. Daar werd brons sinds ca. 3000 v.Chr. gebruikt. Deze kennis heeft zich langzaamaan verspreid door Europa. Voorbeelden van bronzen voorwerpen:Sommige van de oudste bekende verhalen, zoals de Ilias, de Odyssee, delen van de Bijbel en het Gilgamesj-epos spelen zich in de bronstijd af. De bronstijd wordt opgevolgd door de ijzertijd.","De bronstijd (ca. 3000 tot 800 voor Christus) is de periode die in het drieperiodensysteem volgde op het neolithicum. De kennis voor het bewerken van metalen, inclusief brons ontstond in het Midden-Oosten. Daar werd brons sinds ca. 3000 v.Chr. gebruikt. Deze kennis heeft zich langzaamaan verspreid door Europa. In Centraal-Europa is er tussen de nieuwe steentijd en de bronstijd nog een kopertijd te onderscheiden. In Nederland zijn uit deze periode wel enige koperen voorwerpen gevonden, maar dit waren uitzonderingen. Voorbeelden van bronzen voorwerpen:",de bronstijd (ca. 3000 tot 800 voor Christus) is de periode die in het Drieperiodensysteem volgde op het Neolithicum. brons verving gedurende de bronstijd geleidelijk vuursteen als belangrijkste materiaal voor gereedschap en wap
Ursula_Andress,"Ursula Andress ( Ostermundigen (kanton Bern), 19 maart 1936) is een Zwitsers actrice. Ze is vooral bekend als Bondgirl Honey Ryder in de eerste film van James Bond, Dr. No. Vanwege haar zware accent is haar stem in de film niet te horen, de teksten werden later ingesproken door Niki van der Zyl. Voor de rol als Bondgirl kreeg Andress een vergoeding van 10.000 dollar. De schrijver van de James Bondboeken Ian Fleming was zo onder de indruk van de verschijning van Andress, dat zij een rol kreeg in het boek On Her Majesty's Secret Service. Later keerde ze terug als Bondgirl in de officieuze Bondfilm Casino Royale (1967). Andress was een bekend sekssymbool in de jaren 60. Het moment waarop ze al zingend en gekleed in slechts een bikini uit de Caraïbische Zee stapt in Dr. No behoort tot de bekendste fragmenten uit de James Bondfilms. Ze trad daarnaast samen met Dean Martin en Frank Sinatra op in de film 4 for Texas en was de tegenspeelster van Elvis Presley in de film Fun in Acapulco.","Ursula Andress (Ostermundigen (kanton Bern), 19 maart 1936) is een Zwitsers actrice. Ze is vooral bekend als bondgirl Honey Ryder in de eerste film van James Bond, Dr. No. Vanwege haar zware accent is haar stem in de film niet te horen, de teksten werden later ingesproken door . Voor de rol als bondgirl kreeg Andress een vergoeding van 10.000 dollar. Andress was een bekend sekssymbool in de jaren 60. Het moment waarop ze al zingend en gekleed in slechts een bikini uit de Caraïbische Zee stapt in Dr. No behoort tot de bekendste fragmenten uit de James Bondfilms.","Ursula andress is vooral bekend als Bondgirl Honey Ryder in de eerste film van James Bond, Dr. No. voor de rol als Bondgirl kreeg Andress een vergoeding van 10.000 dollar."
Webserver,"Een webserver is een programma dat via een netwerk HTTP-verzoeken ontvangt en documenten naar de client stuurt. Als totum pro parte wordt in het dagelijks spraakgebruik ook wel de hele computer die de betreffende software uitvoert als webserver aangeduid. Het Engelse begrip server betekent zoveel als ""dienstverlener"". De dienst, het leveren van documenten, wordt doorgaans verleend aan webbrowsers. De verzoeken aan een webserver moeten niet noodzakelijkerwijs via een fysiek netwerk gesteld worden, een dergelijke communicatie kan ook binnen één en dezelfde computer plaatsvinden. De documenten die door een webserver geleverd worden, kunnen uit verschillende bronnen komen: het kunnen bestanden op een opslagmedium zijn, maar het kan ook uitvoer van andere computerprogramma's zijn die bijvoorbeeld databases raadplegen om ter plekke een document voor de client samen te stellen. De webserver kan daarbij met andere computerprogramma's communiceren via bijvoorbeeld CGI. Apache, IIS en nginx zijn de drie meest gebruikte webservers.","Een webserver is een programma dat via een netwerk HTTP-verzoeken ontvangt en documenten naar de client stuurt. Als totum pro parte wordt in het dagelijks spraakgebruik ook wel de de hele computer die de betreffende software uitvoert als webserver aangeduid. Apache, IIS en nginx zijn in 2021 de drie meest gebruikte webservers.","een webserver is een programma dat via een netwerk HTTP-verzoeken ontvangt en documenten naar de client stuurt. de dienst, het leveren van documenten, wordt doorgaans verleend aan webbrowsers."
1095,Het jaar 1095 is het 95e jaar in de 11e eeuw volgens de christelijke jaartelling.,Het jaar 1095 is het 95e jaar in de 11e eeuw volgens de christelijke jaartelling.,het jaar 1095 is het 95e jaar in de 11e eeuw volgens de christiane jaartelling. het jaar 1095 is het 95e jaar in de 11e eeuw.
Koningskwestie,"De Koningskwestie is het politieke conflict dat in België ontstond in het begin van de Tweede Wereldoorlog en duurde tot 1951 over het al dan niet terugkeren van Leopold III als koning. Toen Leopold III zich vanaf 28 mei 1940 als de krijgsgevangene van Adolf Hitler beschouwde en capituleerde, ontstond er een conflict met de regering in ballingschap die wilde doorvechten. Leopold III wilde het scenario van 1914-1918 voorkomen. In Limoges veroordeelde het halve parlement en het voltallige kabinet dat defaitisme. Leopolds bezoek aan Hitler in Berchtesgaden zorgde voor een escalatie, net zoals zijn huwelijk met de zwangere Lilian Baels. Na de terugkeer van de regering begin september 1944 namen de voornaamste regeringsleden (maar ook de geallieerden) kennis van het 'politiek testament' dat de koning had achtergelaten en dat groot ongenoegen veroorzaakte. De hoofdredenen hiervoor waren:Dit leidde tot een constitutionele crisis en bijna tot een burgeroorlog. In 1951 zou kroonprins Boudewijn de troon overnemen.","De koningskwestie is het politieke conflict dat in België ontstond in het begin van de Tweede Wereldoorlog. Het conflict duurde tot 1951 en ging over het al dan niet behouden van Leopold III op de koningstroon. Na de terugkeer van de regering begin september 1944 namen de voornaamste regeringsleden, en ook de geallieerden, kennis van het 'politiek testament' dat de koning had achtergelaten, nadat hij door de Duitsers op 7 juni 1944 was weggevoerd, en dat groot ongenoegen veroorzaakte. De hoofdredenen hiervoor waren:",de Koningskwestie is het politieke conflict dat in Belgi<unk> ontstond in het begin van de Tweede Wereldoorlog en duurde tot 1951 over het al dan niet terugkeren van Leopold III als koning.
26_v.Chr.,Het jaar 26 v.Chr. is een jaartal in de 1e eeuw v.Chr. volgens de christelijke jaartelling.,Het jaar 26 v.Chr. is een jaartal in de 1e eeuw v.Chr. volgens de christelijke jaartelling.,het jaar 26 v.Chr. is een jaartal in de 1e eeuw v.Chr. volgens de christelijke jaartelling.
Boeing_757,"De Boeing 757 was een populair narrow-body vliegtuig van Boeing met een capaciteit van 180 tot 289 passagiers. Het toestel was bedoeld voor middellange afstandsvluchten maar ook voor korte drukke routes. Tegenwoordig zetten luchtvaartmaatschappijen de 757 tevens in op trans-Atlantische vluchten. De Boeing 757 was ontworpen als opvolger van de Boeing 727, waarvan het deels de rompopbouw heeft meegekregen. Het toestel werd samen met de Boeing 767 ontwikkeld, zodat piloten en onderhoudspersoneel in geringe tijd en kosten met beide toestellen kunnen werken. Er bestaan twee typen van, de 757-200 en de 757-300. Deze laatste is 7,1 meter langer. Van de 757-200 bestond tevens een vrachtversie en veel oudere passagierstoestellen worden hiervoor omgebouwd en worden onder andere gebruikt door DHL en UPS. Daarnaast bestond nog een combi-versie, en ook zijn sommige 757-200's geleverd als VIP-transport (bijvoorbeeld de C-32 van de Amerikaanse luchtmacht) en als privé-vliegtuig, onder andere aan Microsoft-oprichter Paul Allen.De motoren werden geleverd door 2 producenten: Rolls Royce of Pratt & Whitney. De Boeing 757 maakte op 19 februari 1982 zijn eerste proefvlucht. De productie liep van 1982 tot 28 oktober 2004 en werd beëindigd met het uitrollen van het laatste toestel (bestemd voor Shanghai Airlines). In totaal zijn er 1050 toestellen gebouwd. De taak van de 757 wordt in toenemende mate overgenomen door de Boeing 737-800 en -900/-900ER en door de Airbus A321.",De Boeing 757 is een populair narrow-bodyvliegtuig van Boeing met een capaciteit van 180 tot 289 passagiers. Het toestel was bedoeld voor middellangeafstandsvluchten maar ook voor korte drukke routes. Tegenwoordig zetten luchtvaartmaatschappijen de 757 tevens in op trans-Atlantische vluchten.,"Boeing 757 was een populair narrow-body vliegtuig van Boeing met een capaciteit van 180 tot 289 passagiers. de 757 was ontworpen als opvolger van de Boeing 727, waarvan het deels de rompopbouw heeft meegekregen."
1479-1470_v.Chr.,De jaren 1479-1470 v.Chr. (van de christelijke jaartelling) zijn een decennium in de 15e eeuw v.Chr..,De jaren 1479-1470 v.Chr. (van de christelijke jaartelling) zijn een decennium in de 15e eeuw v.Chr..,de jaren 1479-1470 v.Chr. (van de christelijke jaartelling) zijn een decennium in de 15e eeuw v.Chr.
Signaalanalyse,Signaalanalyse is een vakgebied in onder andere de elektrotechniek en de akoestiek waarbij signaaleigenschappen onderzocht worden. Hierbij wordt een (veelal geluids)signaal geanalyseerd en visueel zichtbaar gemaakt. Vaak wordt hierbij gebruikgemaakt van spectrumanalyse. Hierbij wordt het signaal ontleed in afzonderlijke sinus- en eventueel cosinusfunctie van de samenstellende frequenties. Zo wordt het hele spectrum zichtbaar. De x-as wordt gebruikt voor de frequentie (in Hz) en de y-as voor de amplitude. Fourieranalyse met behulp van Fast Fourier Transformatie is een veelgebruikte techniek hierbij voor implementatie in een computeralgoritme. Indien men wil nagaan hoe de frequentie-inhoud van een lang signaal in functie van de tijd evolueert doorheen het signaal kan men de Short time Fouriertransformatie gebruiken.,Signaalanalyse is een vakgebied in onder andere de elektrotechniek en de akoestiek waarbij signaaleigenschappen onderzocht worden. Hierbij wordt een (veelal geluids)signaal geanalyseerd en visueel zichtbaar gemaakt. Vaak wordt hierbij gebruikgemaakt van spectrumanalyse. Hierbij wordt het signaal ontleed in afzonderlijke sinus- en eventueel cosinusfunctie van de samenstellende frequenties. Zo wordt het hele spectrum zichtbaar. De x-as wordt gebruikt voor de frequentie (in Hz) en de y-as voor de amplitude. Fourieranalyse met behulp van Fast Fourier Transformatie is een veelgebruikte techniek hierbij voor implementatie in een computeralgoritme. Indien men wil nagaan hoe de frequentie-inhoud van een lang signaal in functie van de tijd evolueert doorheen het signaal kan men de Short time Fourie,signaalanalyse is een vakgebied in onder andere de elektrotechniek en de akoestiek waarbij signaalschappen onderzocht worden. hierbij wordt een (veelal geluids)signaal geanalyseerd en visueel zichtbaar gemaakt.
Alessandro_Petacchi,"Alessandro Petacchi ( La Spezia, 3 januari 1974) is een Italiaanse profwielrenner. Petacchi is een specialist op het gebied van de massasprint en geldt daarin als één van de besten ter wereld. Zijn bijnaam Ale Jet zegt voldoende over zijn sprintcapaciteiten. Andere bijnamen zijn de Speer van La Spezia, de gentleman-sprinter, Peta en de rappe uit La Spezia.","Alessandro Petacchi (La Spezia, 3 januari 1974) is een voormalig Italiaans wielrenner. Hij was een specialist op het gebied van de massasprint en geldt daarin als een van de besten ter wereld. Zijn bijnaam Ale Jet zegt voldoende over zijn sprintcapaciteiten. Andere bijnamen zijn de Speer van La Spezia, de gentleman-sprinter, Peta en de rappe uit La Spezia.",Alessandro petacchi is een italienische profwielrenner. zijn bijnaam Ale Jet zegt voldoende over zijn sprintcapaciteiten.
Bret_Easton_Ellis,"Bret Easton Ellis ( Los Angeles, 7 maart 1964) is een Amerikaans auteur. Hij groeide op in een welgestelde familie in Californië. Zijn vader mishandelde hem echter. Na lange tijd in in New York gewoond te hebben, is hij sinds enige tijd weer inwoner van Los Angeles. Hij wordt gerekend tot de belangrijkste Generation X-schrijvers. Ellis' boeken hebben vaak een duister thema. Less Than Zero, het boek waarmee hij op 21-jarige leeftijd debuteerde, werd door critici vergeleken met J.D. Salingers The Catcher in the Rye, maar dan voor de MTV-generatie. Ellis noemt zichzelf een moralist, terwijl hij vaak wordt afgeschilderd als een nihilist. Hij schrijft op een zeer eenvoudige en vlakke manier, waarbij hij opvallend veel gebruikmaakt van herhalingen, teneinde een bezwerend, hypnotisch effect te bewerkstelligen.","Bret Easton Ellis (Los Angeles, 7 maart 1964) is een Amerikaans auteur. Hij groeide op in een welgestelde familie in Californië. Zijn vader mishandelde hem echter. Na lange tijd in New York gewoond te hebben, is hij sinds enige tijd weer inwoner van Los Angeles. Hij wordt gerekend tot de belangrijkste Generation X-schrijvers.","bret easton Ellis ( los angeles, 7 maart 1964) is een amerikaans auteur. hij groeide op in een welgestelde familie in Californi<unk>. hij sinds enige tijd weer inwoner van los angeles."
Ramat_Gan,"Ramat Gan of Ramat-Gan ( Hebreeuws: רמת גן) is een stad in Israël, aan de centrale kuststrook, net ten oosten van Tel Aviv. De stad maakt deel uit van de metropool die Goesj Dan heet en heeft ongeveer 130.000 inwoners. Ramat Gan werd in 1921 gesticht als een landbouwnederzetting waar tarwe, gerst en watermeloenen werden verbouwd. Door de jaren heen voelden steeds meer mensen zich aangetrokken tot dit centraal gelegen groene gebied. Verder vonden na verloop van tijd grote veranderingen plaats, en Ramat Gan breidde de grenzen uit werd een industriestad en handelsstad. De overheid van de stad heeft zich grote moeite getroost om ervoor te zorgen dat de inwoners trots kunnen zijn op hun stad. Grote nadruk werd gelegd op onderwijs, en steeds meer scholen en andere onderwijsinstellingen werden gebouwd of uitgebreid. Nieuwe bedrijven en schone industrieën werden opgestart, en voor veel mensen was Ramat Gan de juiste plek om zich te vestigen. Vandaag de dag beweert Ramat Gan de grootste diamantenbeurs ter wereld te hebben en is het een koploper in het land op het gebied van onderwijs, cultuur en sociale zaken. In Ramat Gan staat de grootste wolkenkrabber van Israël, de 244 meter hoge 'Stadspoort' Ramat Gan. Dit gebouw is slechts een van vele wolkenkrabbers, die in de stad is gebouwd tijdens de grote stadsuitbreidingen van het laatste decennium. Rond het zakencentrum van de stad, het diamantbeursdistrict draait de markt in diamanten. Dit snel ontwikkelde district is nu werkelijk een concurrent van het zakencentrum van Tel-Aviv, en het beweert dat het de op een na beste skyline van het land heeft. In Ramat Gan is de Bar-Ilan Universiteit en het Sheba Medisch Centrum (Tel Hashomer) gevestigd.De ambassade van Nederland bevindt zich ook in deze stad. 25% van de grondoppervlakte van Ramat Gan is gereserveerd voor parken en andere groene gebieden, waarmee het een van de groenste steden van het land is.","Ramat Gan of Ramat-Gan (Hebreeuws: רמת גן - 'tuinhoogte') is een stad in Israël, aan de centrale kuststrook, net ten oosten van Tel Aviv. De stad maakt deel uit van de metropool die Goesj Dan heet en heeft ongeveer 130.000 inwoners. Ramat Gan werd in 1921 gesticht als een landbouwnederzetting waar tarwe, gerst en watermeloenen werden verbouwd. Door de jaren heen voelden steeds meer mensen zich aangetrokken tot dit centraal gelegen groene gebied. Verder vonden na verloop van tijd grote veranderingen plaats, en Ramat Gan breidde de grenzen uit werd een industriestad en handelsstad.","Ramat Gan of Ramat-Gan is een stad in Isra<unk>l, aan de centrale kuststrook, net ten oosten van Tel Aviv. de stad maakt deel uit van de metropool die Goesj Dan heet en heeft ongeveer 130.000 inwoners."
Flea,"Michael Peter Balzary ( Melbourne, 16 oktober 1962) is de basgitarist van de Red Hot Chili Peppers en heeft daarnaast in diverse films geacteerd. Hij is bekend onder de artiestennaam Flea (oorspronkelijk Mike B the Flea). Op jonge leeftijd verhuisde Balzary met zijn ouders en zijn zus Karen naar New York, waar zijn vader douane-agent werd. Na een korte tijd werd zijn moeder verliefd op een jazzmuzikant en scheidden zijn ouders, Michael en Karen gingen met hun moeder mee. Toen hij elf was ging het gezin in Los Angeles wonen en hij ging naar Fairfax High School.Op school leerde hij Anthony Kiedis kennen. Ze werden beste vrienden. Balzary, die heel getalenteerd was met zijn trompet, zwoer bij jazz. Toen ze bevriend raakten met Hillel Slovak veranderde dat echter. Hillel speelde gitaar en was meer een rock 'n roll-fan. Hillel leerde Balzary basgitaar spelen, en later kwam hij samen met Jack Irons en Hillel in een band genaamd Anthym.Na vele omzwervingen ontstond zijn huidige band, Red Hot Chili Peppers, samen met zijn jeugdvrienden Anthony Kiedis, Hillel Slovak en Jack Irons.Flea bracht eind 2012 een solo-EP uit, 'Helen Burns', waarbij de bassist zijn eerste instrument, de trompet, weer oppakt.  Hij werkte hij mee aan het project Atoms for Peace, de band bracht op 23 Februari 2013 het album Amok uit.","Michael Peter Balzary (Melbourne, 16 oktober 1962) is de basgitarist van de Red Hot Chili Peppers en heeft daarnaast in diverse films geacteerd. Hij is bekend onder de artiestennaam Flea (oorspronkelijk Mike B the Flea).","Michael Peter Balzary ( Melbourne, 16 oktober 1962) is de basgitarist van de Red Hot Chili Peppers en heeft daarnaast in diverse films geacteerd. hij is bekend onder de artiestennaam Flea (oorspronkelijk Mike B the Flea)."
Brunei,"Brunei, officieel de Staat Brunei Darussalam (Maleis: Negara Brunei Darussalam), is een land in Zuidoost-Azië. Het ligt op het eiland Borneo aan de Zuid-Chinese Zee en wordt verder geheel omringd door Maleisië. Brunei is met 5.765 km² iets groter dan Gelderland.","Brunei, officieel de Staat Brunei Darussalam (Maleis: Negara Brunei Darussalam), is een land in Zuidoost-Azië. Het ligt op het eiland Borneo en bestaat uit twee delen die elk aan de Zuid-Chinese Zee liggen en verder geheel worden omringd door Maleisië. Brunei is met 5.765 km² iets groter dan Gelderland in Nederland of de provincies Antwerpen en Limburg samen in België.",het ligt op het eiland Borneo aan de Zuid-Chinese Zee en wordt verder gehel omringd door Maleisi<unk>.
The_House_of_the_Rising_Sun,"The House of the Rising Sun (vertaald: het huis van de opkomende zon) is een zogenaamde traditional, een traditioneel volkslied uit de Verenigde Staten, vele malen opgenomen en vooral bekend geworden in een rock-'n-rollversie door The Animals (1964). Voordien was het al uitgebracht in folkversies door Joan Baez in 1960, door Nina Simone in 1961 en door Bob Dylan in 1962. In 1969 had de Amerikaanse rockband Frijid Pink er wederom een hit mee, deze versie was veel rauwer dan de andere versies. Oorspronkelijk had het lied meer een bluesgeluid, voor het eerst opgenomen door Texas Alexander in 1928, en als folkblues door Woody Guthrie in 1940. De tekst, althans delen ervan, gaat volgens sommige bronnen terug tot de 18e eeuw en de melodie zou zijn afgeleid van 18e-, of zelfs 17e-eeuwse Engelse folk.","The House of the Rising Sun (vertaald: het huis van de opkomende zon) is een zogenaamde traditional, een traditioneel volkslied uit de Verenigde Staten, vele malen opgenomen en vooral bekend geworden in een rock-'n-rollversie door The Animals (1964). De oudst gevonden tekst is opgeschreven door William F. Burroughs en gepubliceerd in 1925. Later is het uitgebracht in folkversies door onder meer Joan Baez in 1960, door Nina Simone in 1961 en door Bob Dylan in 1962. In 1969 had de Amerikaanse rockband Frijid Pink er wederom een hit mee, deze versie was veel rauwer dan de andere versies. Oorspronkelijk had het lied meer een bluegrassgeluid, voor het eerst opgenomen door Clarence Ashley en in 1928 en later door onder meer Woody Guthrie (in 1940) als folkblues. De tekst, althans delen ervan, g","The House of the Rising Sun is een zogenaamde traditioneel volkslied uit de Verenigde Staten, vooral bekend geworden in een rock-'n-rollversie door The Animals (1964) Voordien was het al uitgebracht in folkversies door Joan Baez in 1960, door Nina Simone in 1961 en door Bob Dylan in "
Graan,"Graan is een verzamelnaam voor de vruchten van eenzaadlobbige cultuurgewassen uit de familie van de grassen die samen wereldwijd de belangrijkste voedingsbron voor de mens vormen. Graan wordt geteeld voor zijn eetbare bestanddelen, samengesteld uit meellichaam, zemel, kiem en aleuronlaag. De grotendeels nomadisch levende volken in de prehistorie verzamelden al graankorrels van wilde grassen. Lang voor het begin van de jaartelling werden de planten in cultuur gebracht. De oorspronkelijke groeigebieden van gerst bevonden zich waarschijnlijk in de hooglanden van Ethiopië en het zuidoostelijk deel van Azië (Tibet, Nepal en China). Aangenomen wordt dat er meer dan 7000 jaar geleden al gerst werd gekweekt in het gebied tussen Syrië en Afghanistan. In Europa was gerst de eerst gekweekte graansoort. Archeologische vondsten bij de resten van Zwitserse paalwoningen tonen aan dat de cultuur van gerst van 2000-3000 v Chr. stamt. Als voedsel was gerst tot in de Middeleeuwen van groot belang. De gerstekorrels werden tot brij gekookt, maar er werden ook koeken en platte broden van bereid. Later werd gerst als voedselgewas bijna overal overvleugeld door tarwe.","Graan is een verzamelnaam voor de vruchten van eenzaadlobbige cultuurgewassen uit de familie van de grassen die samen wereldwijd de belangrijkste voedingsbron voor de mens vormen. Graan wordt geteeld om zijn eetbare bestanddelen, samengesteld uit meellichaam, zemel, kiem en aleuronlaag.",Graan wordt verzamelnaam voor de vruchten van eenzaadlobbige cultuurgewassen uit de familie van de grassen die samen wereldwijd de belangrijkste voedingsbron voor de mens vormen.
Manneken_Pis_van_Brussel,"Manneken Pis (in het Frans ook le Petit Julien) is een standbeeldje in het centrum van Brussel en stelt een plassend jongetje voor. Het 58 cm grote ventje op een sokkel is geplaatst aan de hoek van de Stoofstraat en de Eikstraat, niet ver van de Grote Markt. Het is uitgegroeid tot een van de beroemdste Belgische en Brusselse monumenten en een symbool/mascotte van de stad Brussel. Behalve het Manneken Pis van Brussel is er ook een in Geraardsbergen, Westmeerbeek, Broksele en Koksijde.","Manneken Pis is een standbeeldje van een plassend jongetje in het centrum van Brussel. Het 55,5 cm grote ventje op een sokkel is geplaatst aan de hoek van de Stoofstraat en de Eikstraat, niet ver van de Grote Markt. Het is uitgegroeid tot een van de beroemdste Belgische en Brusselse monumenten en een symbool/mascotte van de stad Brussel. Behalve het Manneken Pis van Brussel zijn er ook in Geraardsbergen, Westmeerbeek, Broksele en Koksijde, maar dat van Brussel is het bekendste. Het is een bronzen creatie van Hiëronymus Duquesnoy uit 1619.","Manneken pis is een standbeeldje in het centrum van Brussel en stelt een plassend jongetje voor. het 58 cm grote ventje op een sokkel is geplaatst aan de hoek van de Stoofstraat en de Eikstraat, niet ver van de Grote M"
