"url","abstract","T5","BART","BART-CNN"
"Health","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. The World Health Organization (WHO) defined health in its broader sense in its 1948 constitution as ""a state of complete physical, mental, and social well-being and not merely the absence of disease or infirmity."" This definition has been subject to controversy, in particular as lacking operational value and because of the problem created by use of the word ""complete""  Other definitions have been proposed, among which a recent definition that correlates health and personal satisfaction. Classification systems such as the WHO Family of International Classifications, including the International Classification of Functioning, Disability and Health (ICF) and the International Classification of Diseases (ICD), are commonly used to define and measure the components of health.Systematic activities to prevent or cure health problems and promote good health in humans are undertaken by health care providers. Applications with regard to animal health are covered by the veterinary sciences. The term ""healthy"" is also widely used in the context of many types of non-living organizations and their impacts for the benefit of humans, such as in the sense of healthy communities, healthy cities or healthy environments. In addition to health care interventions and a person's surroundings, a number of other factors are known to influence the health status of individuals, including their background, lifestyle, and economic, social conditions, and spirituality; these are referred to as ""determinants of health."" Studies have shown that high levels of stress can affect human health.","health is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. the definition of health in its broader sense in its 1948 constitution has been subject to controversy. studies have shown that high levels of stress can affect human health.","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing"
"Health","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. The World Health Organization (WHO) defined health in its broader sense in its 1948 constitution as ""a state of complete physical, mental, and social well-being and not merely the absence of disease or infirmity."" This definition has been subject to controversy, in particular as lacking operational value and because of the problem created by use of the word ""complete""  Other definitions have been proposed, among which a recent definition that correlates health and personal satisfaction. Classification systems such as the WHO Family of International Classifications, including the International Classification of Functioning, Disability and Health (ICF) and the International Classification of Diseases (ICD), are commonly used to define and measure the components of health.Systematic activities to prevent or cure health problems and promote good health in humans are undertaken by health care providers. Applications with regard to animal health are covered by the veterinary sciences. The term ""healthy"" is also widely used in the context of many types of non-living organizations and their impacts for the benefit of humans, such as in the sense of healthy communities, healthy cities or healthy environments. In addition to health care interventions and a person's surroundings, a number of other factors are known to influence the health status of individuals, including their background, lifestyle, and economic, social conditions, and spirituality; these are referred to as ""determinants of health."" Studies have shown that high levels of stress can affect human health.","health is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. the definition of health in its broader sense in its 1948 constitution has been subject to controversy. studies have shown that high levels of stress can affect human health.","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing"
"Health","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. The World Health Organization (WHO) defined health in its broader sense in its 1948 constitution as ""a state of complete physical, mental, and social well-being and not merely the absence of disease or infirmity."" This definition has been subject to controversy, in particular as lacking operational value and because of the problem created by use of the word ""complete""  Other definitions have been proposed, among which a recent definition that correlates health and personal satisfaction. Classification systems such as the WHO Family of International Classifications, including the International Classification of Functioning, Disability and Health (ICF) and the International Classification of Diseases (ICD), are commonly used to define and measure the components of health.Systematic activities to prevent or cure health problems and promote good health in humans are undertaken by health care providers. Applications with regard to animal health are covered by the veterinary sciences. The term ""healthy"" is also widely used in the context of many types of non-living organizations and their impacts for the benefit of humans, such as in the sense of healthy communities, healthy cities or healthy environments. In addition to health care interventions and a person's surroundings, a number of other factors are known to influence the health status of individuals, including their background, lifestyle, and economic, social conditions, and spirituality; these are referred to as ""determinants of health."" Studies have shown that high levels of stress can affect human health.","health is the ability of individuals or communities to adapt and self-manage when facing physical, mental or social challenges. the definition of health in its broader sense in its 1948 constitution has been subject to controversy. studies have shown that high levels of stress can affect human health.","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing","Health is the level of functional or metabolic efficiency of a living organism. In humans it is the ability of individuals or communities to adapt and self-manage when facing"
"Pulse","In medicine, one's pulse represents the tactile arterial palpation of the heartbeat by trained fingertips. The pulse may be palpated in any place that allows an artery to be compressed against a bone, such as at the neck (carotid artery), on the inside of the elbow (brachial artery), at the wrist (radial artery), at the groin (femoral artery), behind the knee (popliteal artery), near the ankle joint (posterior tibial artery), and on foot (dorsalis pedis artery). Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology.","in medicine, one's pulse represents the tactile arterial palpation of the heartbeat. pulse may be palpated in any place that allows an artery to be compressed against a bone. pulse (or count of arterial pulse per minute) is equivalent to measuring the heart rate.","Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology.","Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology."
"Pulse","In medicine, one's pulse represents the tactile arterial palpation of the heartbeat by trained fingertips. The pulse may be palpated in any place that allows an artery to be compressed against a bone, such as at the neck (carotid artery), on the inside of the elbow (brachial artery), at the wrist (radial artery), at the groin (femoral artery), behind the knee (popliteal artery), near the ankle joint (posterior tibial artery), and on foot (dorsalis pedis artery). Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology.","in medicine, one's pulse represents the tactile arterial palpation of the heartbeat. pulse may be palpated in any place that allows an artery to be compressed against a bone. pulse (or count of arterial pulse per minute) is equivalent to measuring the heart rate.","Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology.","Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology."
"Pulse","In medicine, one's pulse represents the tactile arterial palpation of the heartbeat by trained fingertips. The pulse may be palpated in any place that allows an artery to be compressed against a bone, such as at the neck (carotid artery), on the inside of the elbow (brachial artery), at the wrist (radial artery), at the groin (femoral artery), behind the knee (popliteal artery), near the ankle joint (posterior tibial artery), and on foot (dorsalis pedis artery). Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology.","in medicine, one's pulse represents the tactile arterial palpation of the heartbeat. pulse may be palpated in any place that allows an artery to be compressed against a bone. pulse (or count of arterial pulse per minute) is equivalent to measuring the heart rate.","Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology.","Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology."
"Pulse","In medicine, one's pulse represents the tactile arterial palpation of the heartbeat by trained fingertips. The pulse may be palpated in any place that allows an artery to be compressed against a bone, such as at the neck (carotid artery), on the inside of the elbow (brachial artery), at the wrist (radial artery), at the groin (femoral artery), behind the knee (popliteal artery), near the ankle joint (posterior tibial artery), and on foot (dorsalis pedis artery). Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology.","in medicine, one's pulse represents the tactile arterial palpation of the heartbeat. pulse may be palpated in any place that allows an artery to be compressed against a bone. pulse (or count of arterial pulse per minute) is equivalent to measuring the heart rate.","Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology.","Pulse (or the count of arterial pulse per minute) is equivalent to measuring the heart rate. The heart rate can also be measured by listening to the heart beat directly (auscultation), traditionally using a stethoscope and counting it for a minute. The study of the pulse is known as sphygmology."
"813","Year 813 ( DCCCXIII) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. ""813"" may also refer to a duology of novels by Maurice Leblanc, starring his gentleman thief Arsène Lupin.","year 813 ( DCCCXIII) was a common year starting on Saturday. ""813"" may also refer to a duology of novels by Maurice leblanc, starring his gentleman thief arsène Lupin.","Year 813 ( DCCCXIII) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. ""813"" may also refer to a duology of novels by Maurice Leblanc, starring his gentleman thief Arsène Lupin.","Year 813 ( DCCCXIII) was a common year starting on Saturday (link will display the full calendar) of the Julian calendar. ""813"" may also refer to a duology of novels by Maurice Leblanc, starring his gentleman thief Arsène Lupin."
"Toulon","Toulon ( [tu.lɔ̃]; Provençal Occitan: Tolon in classical norm or Touloun in Mistralian norm) is a city in southern France and a large military harbour on the Mediterranean coast, with a major French naval base. Located in the Provence-Alpes-Côte-d'Azur region, Toulon is the capital of the Var department in the former province of Provence. The Commune of Toulon has a population of 165,514 people (2009), making it the fifteenth-largest city in France. It is the centre of an urban area with 559,421 inhabitants (2008), the ninth largest in France.  Toulon is the fourth-largest French city on the Mediterranean coast after Marseille, Nice and Montpellier. Toulon is an important centre for naval construction, fishing, wine making, and the manufacture of aeronautical equipment, armaments, maps, paper, tobacco, printing, shoes, and electronic equipment.The military port of Toulon is the major naval centre on France's Mediterranean coast, home of the French Navy aircraft carrier Charles De Gaulle and her battle group. The French Mediterranean Fleet is based in Toulon.","Toulon is a city in southern france and a large military harbour on the Mediterranean coast, with a major french naval base. the Commune of Toulon has a population of 165,514 people (2009), making it the fifteenth-largest city in france. toulon is an important centre for naval construction, fishing, wine making, and the manufacture of aeronautics, armaments.","Toulon is a city in southern France and a large military harbour on the Mediterranean coast, with a major French naval base. Located in the Provence-Alpes-Côte-d'Azur region, Toulon is the capital of the Var department in the former province of Provence.","Toulon is a city in southern France and a large military harbour on the Mediterranean coast, with a major French naval base. Located in the Provence-Alpes-Côte-d'Azur region, Toulon is the capital of the Var department in the former province of Provence."
"Entity","An entity is something that exists in itself, actually or potentially, concretely or abstractly, physically or not. It need not be of material existence. In particular, abstractions and legal fictions are usually regarded as entities. In general, there is also no presumption that an entity is animate. The word may refer, for example, to Bucephalus, the horse of Alexander; to a stone; to a cardinal number; to a language; or to ghosts or other spirits. The word entitative is the adjective form of the noun entity. Something that is entitative is considered in its own right. In philosophy, ontology is about the recognition of entities. The words ontic and entity are derived respectively from the ancient Greek and Latin present participles that mean 'being'.","an entity is something that exists in itself, actually or potentially, concretely or abstractly, physically or not, physically or not. in philosophy, ontology is about the recognition of entities. the words ontic and entity are derived respectively from the ancient Greek and Latin present participles that mean 'being'","An entity is something that exists in itself, actually or potentially, concretely or abstractly, physically or not. It need not be of material existence. In particular, abstractions and legal fictions are usually regarded as entities.","An entity is something that exists in itself, actually or potentially, concretely or abstractly, physically or not. It need not be of material existence. In particular, abstractions and legal fictions are usually regarded as entities."
"239","Year 239 (CCXXXIX) was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Gordianus and Aviola (or, less frequently, year 992 Ab urbe condita). The denomination 239 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","year 239 (CCXXXIX) was a common year starting on Tuesday of the Julian calendar. year 239 was known as the Year of the Consulship of Gordianus and aviola.","Year 239 was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar","Year 239 was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar"
"239","Year 239 (CCXXXIX) was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Gordianus and Aviola (or, less frequently, year 992 Ab urbe condita). The denomination 239 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","year 239 (CCXXXIX) was a common year starting on Tuesday of the Julian calendar. year 239 was known as the Year of the Consulship of Gordianus and aviola.","Year 239 was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar","Year 239 was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar"
"239","Year 239 (CCXXXIX) was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Gordianus and Aviola (or, less frequently, year 992 Ab urbe condita). The denomination 239 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","year 239 (CCXXXIX) was a common year starting on Tuesday of the Julian calendar. year 239 was known as the Year of the Consulship of Gordianus and aviola.","Year 239 was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar","Year 239 was a common year starting on Tuesday (link will display the full calendar) of the Julian calendar"
"George_Washington_Carver","George Washington Carver (c. 1860  – 5 January 1943), was an American botanist and inventor. The exact day and year of his birth are unknown; he was born into slavery in Missouri, either in 1861, or January 1864. Carver's reputation is based on his research into and promotion of alternative crops to cotton, such as peanuts, soybeans, and sweet potatoes, which also aided nutrition for farm families. He wanted poor farmers to grow alternative crops both as a source of their own food and as a source of other products to improve their quality of life. The most popular of his 44 practical bulletins for farmers contained 105 food recipes using peanuts.  He also developed and promoted about 100 products made from peanuts that were useful for the house and farm, including cosmetics, dyes, paints, plastics, gasoline, and nitroglycerin. He received numerous honors for his work, including the Spingarn Medal of the NAACP. During the Reconstruction-era South, monoculture of cotton depleted the soil in many areas. In the early 20th century, the boll weevil destroyed much of the cotton crop, and planters and farm workers suffered. Carver's work on peanuts was intended to provide an alternative crop.He was recognized for his many achievements and talents. In 1941, Time magazine dubbed Carver a ""Black Leonardo"".","carver's reputation is based on his research into and promotion of alternative crops to cotton, such as peanuts, soybeans, and sweet potatoes. he wanted poor farmers to grow alternative crops both as a source of their own food and as a source of other products to improve their quality of life. in 1941, time magazine dubbed Carver a ""black Leonardo"".","George Washington Carver (c. 1860 – 5 January 1943), was an American botanist and inventor. He was recognized for his many achievements and talents. In 1941, Time magazine dubbed Carver a ""Black Leonardo"".","George Washington Carver (c. 1860 – 5 January 1943), was an American botanist and inventor. He was recognized for his many achievements and talents. In 1941, Time magazine dubbed Carver a ""Black Leonardo""."
"Robot","A robot is a mechanical or virtual artificial agent, usually an electro-mechanical machine that is guided by a computer program or electronic circuitry. Robots can be autonomous or semi-autonomous and range from humanoids such as Honda's Advanced Step in Innovative Mobility ( ASIMO) and TOSY's TOSY Ping Pong Playing Robot ( TOPIO) to industrial robots, collectively programmed swarm robots, and even microscopic nano robots. By mimicking a lifelike appearance or automating movements, a robot may convey a sense of intelligence or thought of its own. The branch of technology that deals with the design, construction, operation, and application of robots,  as well as computer systems for their control, sensory feedback, and information processing is robotics. These technologies deal with automated machines that can take the place of humans in dangerous environments or manufacturing processes, or resemble humans in appearance, behavior, and/or cognition. Many of today's robots are inspired by nature contributing to the field of bio-inspired robotics. These robots have also created a newer branch of robotics: Soft robotics. From the time of ancient civilization there have been many accounts of user-configurable automated devices and even automata resembling animals and humans, designed primarily as entertainment. As mechanical techniques developed through the Industrial age, there appeared more practical applications such as automated machines, remote-control and wireless remote-control. The word 'robot' was first used to denote fictional humanoid in a 1921 play R.U.R. by the Czech writer, Karel Čapek. Electronics evolved into the driving force of development with the advent of the first electronic autonomous robots created by William Grey Walter in Bristol, England in 1948. The first digital and programmable robot was invented by George Devol in 1954 and was named the Unimate. It was sold to General Motors in 1961 where it was used to lift pieces of hot metal from die casting machines at the Inland Fisher Guide Plant in the West Trenton section of Ewing Township, New Jersey. Robots have replaced humans  in the assistance of performing those repetitive and dangerous tasks which humans prefer not to do, or are unable to do due to size limitations, or even those such as in outer space or at the bottom of the sea where humans could not survive the extreme environments. There are concerns about the increasing use of robots and their role in society. Robots are blamed for rising unemployment as they replace workers in increasing numbers of functions. The use of robots in military combat raises ethical concerns. The possibilities of robot autonomy and potential repercussions have been addressed in fiction and may be a realistic concern in the future.","a robot is a mechanical or virtual artificial agent, usually an electro-mechanical machine that is guided by a computer program or electronic circuitry. robots can be autonomous or semi-autonomous and range from humanoids such as Honda's advanced step in innovative mobility ( ASIMO) to industrial robots, collectively programmed swarm robots, and even microscopic nano robots. many of today's robots are inspired by nature contribu","Robots have replaced humans in the assistance of performing those repetitive and dangerous tasks which humans prefer not to do, or are unable to do due to size limitations, or even","Robots have replaced humans in the assistance of performing those repetitive and dangerous tasks which humans prefer not to do, or are unable to do due to size limitations, or even"
"Robot","A robot is a mechanical or virtual artificial agent, usually an electro-mechanical machine that is guided by a computer program or electronic circuitry. Robots can be autonomous or semi-autonomous and range from humanoids such as Honda's Advanced Step in Innovative Mobility ( ASIMO) and TOSY's TOSY Ping Pong Playing Robot ( TOPIO) to industrial robots, collectively programmed swarm robots, and even microscopic nano robots. By mimicking a lifelike appearance or automating movements, a robot may convey a sense of intelligence or thought of its own. The branch of technology that deals with the design, construction, operation, and application of robots,  as well as computer systems for their control, sensory feedback, and information processing is robotics. These technologies deal with automated machines that can take the place of humans in dangerous environments or manufacturing processes, or resemble humans in appearance, behavior, and/or cognition. Many of today's robots are inspired by nature contributing to the field of bio-inspired robotics. These robots have also created a newer branch of robotics: Soft robotics. From the time of ancient civilization there have been many accounts of user-configurable automated devices and even automata resembling animals and humans, designed primarily as entertainment. As mechanical techniques developed through the Industrial age, there appeared more practical applications such as automated machines, remote-control and wireless remote-control. The word 'robot' was first used to denote fictional humanoid in a 1921 play R.U.R. by the Czech writer, Karel Čapek. Electronics evolved into the driving force of development with the advent of the first electronic autonomous robots created by William Grey Walter in Bristol, England in 1948. The first digital and programmable robot was invented by George Devol in 1954 and was named the Unimate. It was sold to General Motors in 1961 where it was used to lift pieces of hot metal from die casting machines at the Inland Fisher Guide Plant in the West Trenton section of Ewing Township, New Jersey. Robots have replaced humans  in the assistance of performing those repetitive and dangerous tasks which humans prefer not to do, or are unable to do due to size limitations, or even those such as in outer space or at the bottom of the sea where humans could not survive the extreme environments. There are concerns about the increasing use of robots and their role in society. Robots are blamed for rising unemployment as they replace workers in increasing numbers of functions. The use of robots in military combat raises ethical concerns. The possibilities of robot autonomy and potential repercussions have been addressed in fiction and may be a realistic concern in the future.","a robot is a mechanical or virtual artificial agent, usually an electro-mechanical machine that is guided by a computer program or electronic circuitry. robots can be autonomous or semi-autonomous and range from humanoids such as Honda's advanced step in innovative mobility ( ASIMO) to industrial robots, collectively programmed swarm robots, and even microscopic nano robots. many of today's robots are inspired by nature contribu","Robots have replaced humans in the assistance of performing those repetitive and dangerous tasks which humans prefer not to do, or are unable to do due to size limitations, or even","Robots have replaced humans in the assistance of performing those repetitive and dangerous tasks which humans prefer not to do, or are unable to do due to size limitations, or even"
"1606","Year 1606 (MDCVI) was a common year starting on Sunday (link will display the full calendar) of the Gregorian calendar and a common year starting on Wednesday of the 10-day slower Julian calendar.","1606 (mdcvi) was a common year starting on Sunday of the Gregorian calendar. was a common year starting on Wednesday of the 10-day slower Julian calendar.","Year 1606 (MDCVI) was a common year starting on Sunday (link will display the full calendar) of the Gregorian calendar and a common year starting on Wednesday of the 10-day slower Julian calendar.","Year 1606 (MDCVI) was a common year starting on Sunday (link will display the full calendar) of the Gregorian calendar and a common year starting on Wednesday of the 10-day slower Julian calendar."
"405","Year 405 (CDV) was a common year starting on Sunday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Stilicho and Anthemius (or, less frequently, year 1158 Ab urbe condita). The denomination 405 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","year 405 (cdv) was a common year starting on Sunday of the Julian calendar. the year was known as the Year of the Consulship of Stilicho and Anthemius. 405 has been used since the early medieval period.","Year 405 (CDV) was a common year starting on Sunday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Stilicho and Anthemius (or, less frequently, year 1158 Ab urbe condita).","Year 405 (CDV) was a common year starting on Sunday (link will display the full calendar) of the Julian calendar. At the time, it was known as the Year of the Consulship of Stilicho and Anthemius (or, less frequently, year 1158 Ab urbe condita)."
"Climate","Climate is the long-term pattern of weather in a particular area.  It is measured by assessing the patterns of variation in temperature, humidity, atmospheric pressure, wind, precipitation, atmospheric particle count and other meteorological variables in a given region over long periods of time. Climate is different from weather, in that weather only describes the short-term conditions of these variables in a given region. A region's climate is generated by the climate system, which has five components: atmosphere, hydrosphere, cryosphere, lithosphere, and biosphere. The climate of a location is affected by its latitude, terrain, and altitude, as well as nearby water bodies and their currents. Climates can be classified according to the average and the typical ranges of different variables, most commonly temperature and precipitation. The most commonly used classification scheme was originally developed by Wladimir Köppen. The Thornthwaite system, in use since 1948, incorporates evapotranspiration along with temperature and precipitation information and is used in studying animal species diversity and potential effects of climate changes. The Bergeron and Spatial Synoptic Classification systems focus on the origin of air masses that define the climate of a region.Paleoclimatology is the study of ancient climates. Since direct observations of climate are not available before the 19th century, paleoclimates are inferred from proxy variables that include non-biotic evidence such as sediments found in lake beds and ice cores, and biotic evidence such as tree rings and coral. Climate models are mathematical models of past, present and future climates. Climate change may occur over long and short timescales from a variety of factors; recent warming is discussed in global warming.","climate is the long-term pattern of weather in a particular area. climate is different from weather, in that weather only describes the short-term conditions of these variables in a given region. a region's climate is generated by the climate system.","Climate is the long-term pattern of weather in a particular area. It is measured by assessing the patterns of variation in temperature, humidity, atmospheric pressure, wind, precipitation, atmospheric particle count and other meteorological variables in a given region over long periods of time. Climate is different from weather, in that weather only describes the short-term conditions of these variables.","Climate is the long-term pattern of weather in a particular area. It is measured by assessing the patterns of variation in temperature, humidity, atmospheric pressure, wind, precipitation, atmospheric particle count and other meteorological variables in a given region over long periods of time. Climate is different from weather, in that weather only describes the short-term conditions of these variables."
"Tribe","A tribe is viewed, historically or developmentally, as a social group existing before the development of, or outside of, states. A tribe is a distinct people, dependent on their land for their livelihood, who are largely self-sufficient, and not integrated into the national society. It is perhaps the term most readily understood and used by the general public. Stephen Corry, director of Survival International the world's only organisation dedicated to indigenous rights, has defined tribal people as ""those which have followed ways of life for many generations that are largely self-sufficient, and are clearly different from the mainstream and dominant society.""  This definition, however, would not apply in countries in the Middle East such as Iraq, where the entire population is a member of one tribe or another and therefore tribalism itself is dominant and mainstream. There are an estimated one hundred and fifty million tribal individuals worldwide,  constituting around forty percent of indigenous individuals. However, although nearly all tribal peoples are also indigenous, there are some who are not indigenous to the areas where they live now. It is important to make the distinction between tribal and indigenous because tribal peoples have a special status acknowledged in  international law as well as problems in addition to those faced by the wider category of indigenous peoples. Many people used the term ""tribal society"" to refer to societies organized largely on the basis of social, especially familial, descent groups (see clan and kinship). A customary tribe in these terms is a face-to-face community, relatively bound by kinship relations, reciprocal exchange, and strong ties to place. ""Tribe"" is a contested term due to its roots in colonialism. The word has no shared referent, whether in political form, kinship relations or shared culture. Some argue that it conveys a negative connotation of a timeless unchanging past. To avoid these implications, some have chosen to use the terms ""ethnic group"", or nation instead.In some places, such as North America and India, tribes are polities that have been granted legal recognition and limited autonomy by the state.","a tribe is a distinct people, dependent on their land for their livelihood, and not integrated into the national society. there are an estimated one hundred and fifty million tribal individuals worldwide. tribal peoples have a special status acknowledged in international law.","A tribe is a distinct people, dependent on their land for their livelihood, who are largely self-sufficient, and not integrated into the national society. It is perhaps the term most readily understood and used by the general public","A tribe is a distinct people, dependent on their land for their livelihood, who are largely self-sufficient, and not integrated into the national society. It is perhaps the term most readily understood and used by the general public"
"767","Year 767 (DCCLXVII) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar. The denomination 767 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","year 767 (DCCLXVII) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar. the denomination 767 for this year has been used since the early medieval period, when the Anno Domini calendar era became prevalent.","Year 767 (DCCLXVII) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar. The denomination 767 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","Year 767 (DCCLXVII) was a common year starting on Thursday (link will display the full calendar) of the Julian calendar. The denomination 767 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years."
"Altar","An altar is any structure upon which offerings such as sacrifices and worship are made for religious purposes. Altars are usually found at shrines, and they can be located in temples, churches and other places of worship. Today they are used particularly in Christianity, Buddhism, Hinduism, Shinto, Taoism, as well as in Neopaganism and Ceremonial Magic. Judaism used such a structure until the destruction of the Second Temple. Many historical faiths also made use of them, including Greek and Norse religion.","an altar is any structure upon which offerings such as sacrifices and worship are made for religious purposes. they are used particularly in Christianity, Buddhism, Hinduism, Shinto, Taoism, as well as in Neopaganism and Ceremonial magic. many historical faiths also made use of them, including Greek and norse religion.","An altar is any structure upon which offerings such as sacrifices and worship are made for religious purposes. Altars are usually found at shrines, and they can be located in temples, churches and other places of worship. Today they are used in Christianity, Buddhism, Hinduism, Shinto, Taoism, as well as in Neopaganism and Ceremonial Magic. Judaism used such a structure until the destruction of the Second Temple. Many historical faiths also made use of them, including Greek and Norse religion.","An altar is any structure upon which offerings such as sacrifices and worship are made for religious purposes. Altars are usually found at shrines, and they can be located in temples, churches and other places of worship. Today they are used in Christianity, Buddhism, Hinduism, Shinto, Taoism, as well as in Neopaganism and Ceremonial Magic. Judaism used such a structure until the destruction of the Second Temple. Many historical faiths also made use of them, including Greek and Norse religion."
"Truth","Truth is most often used to mean being in accord with fact or reality,  or fidelity to an original or to a standard or ideal. The commonly understood opposite of truth is falsehood, which, correspondingly, can also take on a logical, factual, or ethical meaning. The concept of truth is discussed and debated in several contexts, including philosophy and religion. Many human activities depend upon the concept, where its nature as a concept is assumed rather than being a subject of discussion; these include most (but not all) of the sciences, law, and everyday life. Various theories and views of truth continue to be debated among scholars, philosophers, and theologians. Language and words are a means by which humans convey information to one another and the method used to determine what is a ""truth"" is termed a criterion of truth. There are differing claims on such questions as what constitutes truth: what things are truthbearers capable of being true or false; how to define and identify truth; the roles that faith-based and empirically based knowledge play; and whether truth is subjective or objective, relative or absolute.","the concept of truth is discussed and debated in several contexts, including philosophy and religion. many human activities depend upon the concept, where its nature as a concept is assumed rather than being subject to discussion. Various theories and views of truth continue to be debated among scholars, philosophers, and theologians.","Truth is most often used to mean being in accord with fact or reality, or fidelity to an original or to a standard or ideal. The commonly understood opposite of truth is falsehood, which, correspondingly, can also take on a logical, factual, or ethical meaning.","Truth is most often used to mean being in accord with fact or reality, or fidelity to an original or to a standard or ideal. The commonly understood opposite of truth is falsehood, which, correspondingly, can also take on a logical, factual, or ethical meaning."
